"total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","distance","instrument","treat","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other","respond","total_expenditure_obs"
8000,5000,500,100,NA,1,3,5,0,0.333333333333333,1,0,1,0.3,3.83333333333333,2.57142857142857,4,4,4,4,3.8,3,100,NA,1,1,3.2,0.1,48,0,0,0,1,40,0,1,FALSE,9,NA,NA,1013,NA,NA,NA,2,2,1,2,2,14,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
6000,45000,1000,75,450,1,3,3,0,0,0,0,6,19.6,3.5,2.14285714285714,4,4,4,4,4,4,150,NA,0,0,3.2,0.3,28,1,1,0,1,50,0,0,TRUE,12,0.2,10.3333333333333,1013,10.3333333333333,17,7.33333333333333,5,4,0,3,1,8,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
5000,1000,0,50,NA,1,2,3,0,0,0,0,6,24.3,2.66666666666667,0,3,3,3,2,2.6,3,70,NA,0,0,3.2,0,33,1,0,0,1,35,0,0,FALSE,15,NA,NA,1013,NA,NA,NA,2,3,0,2,1,8,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
1500,1000,0,50,NA,1,1,3,0,0,0,0,0,0,3.33333333333333,0,4,4,4,4,3.4,3,50,NA,0,0,2.8,0.2,48,0,0,0,1,55,0,1,FALSE,20,NA,NA,1013,NA,NA,NA,1,2,0,1,2,14,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
6000,3000,0,50,NA,1,2,4,0,0,0,0,0,0,2.83333333333333,1.85714285714286,3,3,3,3,3,3,100,NA,0,0,3.2,0.1,28,1,0,0,1,45,0,0,FALSE,18,NA,NA,1013,NA,NA,NA,3,3,0,2,1,8,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
5000,4000,0,84,NA,1,2,5,0,0,0,0,1,1,3,2.42857142857143,4,4,4,3,3.2,3,50,NA,0,0,3.8,0,22,1,0,0,1,40,0,0,FALSE,2,NA,NA,1014,NA,NA,NA,4,2,0,2,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3000,2000,0,56,NA,1,2,4,0,0,0,0,0,0,3,2,3,3,2,2,2.4,3,50,NA,0,1,3,0.1,58,0,0,0,1,60,0,0,FALSE,10,NA,NA,1014,NA,NA,NA,2,2,0,1,1,12,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
2000,1500,0,56,NA,1,2,4,0,0,0,0,0,0,3.5,0,3,2,2,3,2.2,3,50,NA,0,0,3,0.1,47,0,0,0,1,55,0,0,FALSE,3,NA,NA,1014,NA,NA,NA,4,2,0,1,2,12,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1500,1000,0,56,0,1,1,2,0,0,0,0,6,3,3.16666666666667,0,5,4,5,5,4,5,100,NA,0,0,2.6,0.2,32,1,1,0,1,43,0,0,TRUE,1,4,13.3333333333333,1014,13.3333333333333,0.666666666666667,0.333333333333333,3,2,0,1,1,12,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1500
6000,4000,1000,56,NA,1,2,4,0,0,1,0,1,0.3,2.33333333333333,2.71428571428571,2,5,2,2,2.6,3,200,NA,0,0,3.8,0.3,46,0,0,0,1,37,1,0,TRUE,NA,NA,NA,1015,NA,NA,NA,0,2,0,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
10000,5000,0,56,250,1,2,3,0,0,0,0,1,3,3.66666666666667,2.57142857142857,4,4,4,5,4.2,5,200,NA,0,1,3.4,0,33,1,1,0,1,20,1,0,TRUE,NA,25,13.3333333333333,1015,13.3333333333333,2.33333333333333,0.666666666666667,4,2,0,2,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
0,0,0,56,NA,1,2,4,0,0,0,0,2,0.2,4,0,2,2,3,2,2.2,3,100,NA,0,1,3.4,0,55,0,0,1,0,60,1,0,FALSE,NA,NA,NA,1015,NA,NA,NA,5,1,0,2,4,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20000,10000,6000,280,250,1,7,12,0,1,1.5,0,12,63,3.66666666666667,3.57142857142857,4,4,4,4,3.6,4,250,4,1,0,4.6,0.4,28,1,1,1,0,45,1,0,TRUE,NA,30,15,1015,15,4,2.66666666666667,4,3,0,3,2,10,4,2,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000
5000,4500,0,64,NA,1,2,5,0,0,0,0,4,9.2,3.33333333333333,2.85714285714286,2,2,2,2,1.8,3,200,NA,0,0,3.6,0.2,49,0,0,0,1,45,1,0,FALSE,NA,NA,NA,1016,NA,NA,NA,4,2,0,2,2,10,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
7000,3000,0,285,NA,1,1,12,0,2.16666666666667,0,0,2,2.2,3.83333333333333,2.85714285714286,4,4,4,5,3.8,3,100,NA,0,0,3.8,0.2,55,0,0,0,1,30,1,0,TRUE,NA,NA,NA,1016,NA,NA,NA,3,2,0,2,3,13,0,1,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000
10000,6000,3000,510,300,1,5,5,0,0,0,0,5,21,3.83333333333333,1.85714285714286,4,2,4,5,3.4,4,100,NA,0,1,3.8,0.2,25,1,1,0,1,23,1,0,TRUE,NA,3,10,1016,10,9,5,3,3,0,2,3,12,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
10000,6000,0,0,NA,1,2,5,0,0,0,0,0,0,5.33333333333333,0,2,3,3,2,2.4,3,250,NA,0,0,4.2,0,22,1,0,1,0,20,1,0,FALSE,NA,NA,NA,1016,NA,NA,NA,2,2,0,2,3,23,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
4000,1500,0,0,NA,0,0,0,0,1.33333333333333,0,0,2,1,4,0,2,2,2,2,2.4,4,500,NA,0,0,4.2,0.2,60,0,0,0,1,40,1,0,FALSE,10,NA,NA,1017,NA,NA,NA,5,2,0,2,3,12,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
4000,3000,50,50,0,1,2,2,0,0,0,0,3,20,3.83333333333333,2.42857142857143,5,5,3,5,4,5,100,NA,0,1,4.6,0.2,34,1,1,0,1,50,1,0,FALSE,35,0.25,4,1017,4,1.33333333333333,0,3,2,0,3,2,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
4000,1000,0,120.5,NA,1,1,4,0,0,0,0,0,0,3.16666666666667,0,3,2,2,3,2.4,3,500,NA,0,0,3.8,0.2,55,0,0,0,1,70,1,0,FALSE,0.5,NA,NA,1017,NA,NA,NA,2,0,0,2,1,14,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
6000,5000,0,79,NA,1,2,7,0,0,0,0,4,14,3.33333333333333,1.85714285714286,2,2,2,1,1.6,4,60,NA,0,0,4.6,0,23,1,0,1,0,38,1,0,FALSE,60,NA,NA,1017,NA,NA,NA,3,3,0,2,2,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
1500,1000,0,56,NA,1,2,4,0,0,0,0,0,0,3.33333333333333,0,4,4,3,4,3.4,3,0,NA,0,0,2.8,0,47,0,0,1,0,53,1,0,FALSE,5,NA,NA,1081,NA,NA,NA,5,2,0,1,2,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4000,3500,0,212,200,1,1,5,3,0.166666666666667,0,0,8,25,2.5,2.57142857142857,4,4,2,4,3,4,200,NA,1,0,3.2,0.4,25,1,1,0,1,30,1,0,TRUE,10,1,10.6666666666667,1081,10.6666666666667,7.66666666666667,8,2,1,0,2,0,10,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4000
4000,3500,200,0,200,0,0,0,0,0.666666666666667,0.5,0,8,22,2.5,2.14285714285714,4,4,4,4,3.4,4,200,NA,1,0,3.4,0.4,22,1,1,0,1,40,1,1,FALSE,9,1,10.6666666666667,1080,10.6666666666667,4,4,2,1,0,2,0,10,0,2,0,0,0,2,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,4000
4000,2500,100,101,NA,1,2,8,4,0,0,0,1,1,3.16666666666667,0.142857142857143,4,3,3,4,3.2,3,100,NA,0,0,3.4,0.2,57,0,0,0,1,30,1,0,TRUE,15,NA,NA,1081,NA,NA,NA,5,2,0,1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
3000,2000,0,56,NA,1,2,7,0,0,0,0,0,0,3.16666666666667,0,4,4,4,4,3.4,3,50,NA,0,0,2.6,0.2,57,0,0,0,1,69,1,0,FALSE,10,NA,NA,1080,NA,NA,NA,4,2,0,1,3,9,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4000,3000,50,0,NA,0,0,0,0,1.5,0.5,0,1,1,3.16666666666667,1.85714285714286,4,3,3,4,3.2,3,100,NA,0,0,3.2,0.1,58,0,0,0,1,58,1,0,FALSE,4,NA,NA,1081,NA,NA,NA,4,2,0,1,2,10,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
4000,3200,500,52,200,1,2,8,0,0.333333333333333,0,0,4,24,2.5,2,4,4,2,4,3,5,200,NA,1,0,3.4,0,23,1,1,1,0,40,1,0,TRUE,15,1,10.6666666666667,1081,10.6666666666667,6,4.66666666666667,2,2,0,2,0,9,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
3000,2600,0,52,NA,1,2,4,0,0.166666666666667,0,0,0,0,2.5,2,4,2,3,4,2.8,4,0,NA,0,0,3.2,0.2,56,0,0,0,1,52,0,0,FALSE,6,NA,NA,1018,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8000,7500,0,50,NA,1,2,4,0,0.5,0.5,0.5,1,1,4.33333333333333,3.28571428571429,4,4,4,4,4,4,0,NA,0,0,3.6,0.4,28,1,0,0,1,21,1,0,TRUE,27,NA,NA,1018,NA,NA,NA,8,2,1,1,3,11,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8000
8000,6500,500,250,0,1,2,4,0,0,1,0,5,23.1,4.5,1.85714285714286,2,2,4,2,2.4,4,150,NA,1,1,3.8,0.8,26,1,1,0,1,29,1,0,TRUE,25,10,4,1018,4,6.66666666666667,3.33333333333333,8,2,1,2,2,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000
4000,3000,0,52,NA,1,2,4,0,0.166666666666667,0,0,0,0,2.5,1.71428571428571,3,2,2,4,2.4,4,100,NA,1,0,3,0,58,0,0,0,1,40,0,0,FALSE,5,NA,NA,1018,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
2000,1500,0,0,0,0,0,0,0,0,0,0,6,29,3.33333333333333,0,4,4,4,5,3.8,4,100,NA,0,0,3,0.2,23,1,1,0,1,45,1,1,FALSE,6,0.67,11.3333333333333,1020,11.3333333333333,6.33333333333333,3.33333333333333,5,1,0,1,3,10,0,0,0,0,0,0,NA,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2000
3000,2500,0,56,NA,1,2,4,0,0.333333333333333,0,0,0,0,2.5,1.71428571428571,4,4,4,4,3.4,4,100,NA,1,0,3.4,0,47,0,0,0,1,50,1,1,FALSE,10,NA,NA,1020,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,4000,0,112,0,1,3,4,0,0,0,0,6,28,4.33333333333333,2.71428571428571,4,4,4,4,3.4,4,100,NA,0,1,4,0.3,21,1,1,0,1,26,1,0,TRUE,15,0.25,12.3333333333333,1019,12.3333333333333,5.33333333333333,2.66666666666667,6,2,0,2,3,13,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
7000,5000,0,0,0,1,2,3,0,0,0,0,1,6,5.5,2.85714285714286,4,4,4,4,3.6,4,100,NA,0,0,3.8,0,23,1,1,1,0,24,1,0,FALSE,7,0.25,11.3333333333333,1020,11.3333333333333,5.33333333333333,2.66666666666667,8,2,0,2,3,18,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000
3000,2500,100,4,NA,1,2,3,0,0.166666666666667,0.5,0,2,0,2.5,2.42857142857143,4,4,4,4,3.4,4,100,NA,0,0,3.2,0.1,51,0,0,0,1,30,1,1,FALSE,3,NA,NA,1019,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3000
4000,3500,200,68,NA,1,2,4,0,0,0.5,0,2,0,2.5,0.285714285714286,4,4,4,4,3.4,4,100,NA,0,0,3.2,0,50,0,0,0,1,40,1,1,TRUE,10,NA,NA,1020,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4000
5000,4000,0,56,0,1,2,3,0,0,0,0,4,21,4.5,2.85714285714286,4,4,4,4,3.4,4,150,NA,0,0,3.2,0.2,25,1,1,0,1,40,1,0,FALSE,3,0.67,11.3333333333333,1020,11.3333333333333,4,2.66666666666667,8,2,0,2,5,10,0,0,0,0,0,0,NA,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5000
4000,3000,0,56,0,1,2,2,0,0,0,0,3,6,4.33333333333333,2.71428571428571,4,4,4,4,3.4,4,100,NA,0,0,3.8,0.2,24,1,1,0,1,40,1,0,FALSE,15,6,12.3333333333333,1019,12.3333333333333,7.66666666666667,3.33333333333333,8,2,0,2,4,10,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4000
3000,2500,200,56,NA,1,2,4,0,0.333333333333333,0.5,0,0,0,2.5,1.85714285714286,4,4,4,4,3.4,4,50,NA,1,0,3.2,0,48,0,0,0,1,35,1,0,FALSE,5,NA,NA,1020,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
6000,5000,0,0,NA,0,0,0,0,0.833333333333333,0,0,6,13,4.66666666666667,2.57142857142857,4,4,4,4,3.6,4,150,NA,0,1,4,0.2,23,1,0,0,1,45,1,0,FALSE,7,NA,NA,1019,NA,NA,NA,8,2,0,2,6,10,0,5,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA
3500,3000,0,56,NA,1,2,4,0,0.166666666666667,0,0,0,0,2.5,1.71428571428571,4,4,4,4,3.4,4,100,NA,0,0,3.2,0,48,0,0,0,1,38,1,1,FALSE,4,NA,NA,1019,NA,NA,NA,2,2,0,1,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500
2500,2000,0,56,NA,1,1,3,0,0.166666666666667,0,0,0,0,2.5,1.28571428571429,4,3,4,4,3.2,4,100,NA,1,0,3.2,0,49,0,0,0,1,40,1,1,FALSE,4,NA,NA,1019,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2500
0,0,0,0,NA,0,0,0,0,0,1,0,2,6,2.83333333333333,3,4,4,5,4,3.8,4,100,NA,0,0,3.4,0,50,0,0,1,1,42,0,0,FALSE,8,NA,NA,1021,NA,NA,NA,2,2,0,1,2,10,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
3000,2500,0,42,NA,1,1,3,0,0,0,0,2,8,4.66666666666667,2.85714285714286,4,4,1,2,2.6,3,100,NA,0,0,3.2,0.1,48,0,0,1,0,31,1,0,FALSE,10,NA,NA,1021,NA,NA,NA,6,2,0,1,4,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
20000,15000,600,0,0,0,0,0,0,0.333333333333333,0,0,4,10.2,4.33333333333333,3.14285714285714,4,4,5,4,3.8,4,100,NA,0,1,3.2,0,35,1,1,1,1,90,0,0,FALSE,30,0.25,10.6666666666667,1021,10.6666666666667,9,5,2,2,0,2,0,20,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4000,2000,0,0,NA,0,0,0,0,0.166666666666667,0,0,2,2.1,4.33333333333333,2.85714285714286,4,2,3,4,2.8,3,100,NA,0,1,2.8,0,48,0,0,0,0,25,1,0,FALSE,2,NA,NA,1021,NA,NA,NA,2,1,0,2,3,18,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
10000,4000,200,52,NA,1,1,4,0,0,0,0,4,9,5.66666666666667,2.85714285714286,4,4,2,2,2.8,4,0,NA,0,1,3,0,21,1,0,1,0,25,0,1,FALSE,0.5,NA,NA,1022,NA,NA,NA,6,1,0,2,3,22,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10000
3000,2500,0,104,300,1,4,8,0,0,0,0,9,12,3.5,1.71428571428571,1,1,3,4,2.4,4,50,NA,0,0,3.8,0.1,24,1,1,0,1,65,1,1,FALSE,42,4,10.6666666666667,1022,10.6666666666667,5.66666666666667,7,8,2,0,2,1,8,0,0,0,0,0,0,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,3000
10000,5000,0,52,NA,1,2,4,0,0,0,0,2,6,3,2.85714285714286,4,4,4,2,3.2,3,100,NA,0,1,4,0.2,54,0,0,0,1,30,0,1,FALSE,2,NA,NA,1022,NA,NA,NA,2,2,0,2,2,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
5000,3000,0,78,NA,1,2,4,0,0.833333333333333,0,0,2,3,4.83333333333333,0,4,4,4,2,3.2,3,300,NA,0,0,3.2,0.2,56,0,0,0,1,60,0,1,FALSE,50,NA,NA,1022,NA,NA,NA,6,1,0,2,2,18,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5000
8000,6000,0,52,NA,1,2,5,0,0,0,0,2,8,4.66666666666667,2.85714285714286,2,3,2,2,2.2,3,200,NA,0,1,4,0.2,47,0,0,1,0,30,0,1,FALSE,4,NA,NA,1022,NA,NA,NA,4,1,0,2,3,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8000
4500,3000,0,56,0,1,2,2,0,0,0,0,3,4,2.5,1.71428571428571,4,4,3,5,3.4,5,0,NA,0,1,3,0.2,48,0,1,0,1,47,1,0,FALSE,5,2,11,1024,11,0,0,2,2,0,1,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4500
10000,6000,1000,108,NA,1,4,4,0,0.333333333333333,0.5,0,1,1,3,2,4,4,4,4,3.8,3,100,NA,0,0,3.2,0.1,33,1,0,0,1,45,1,1,TRUE,1,NA,NA,1025,NA,NA,NA,3,4,0,1,1,9,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2500,1500,50,84,NA,1,3,8,0,0,0,0,1,1,2.33333333333333,1.57142857142857,4,3,3,3,2.8,3,50,NA,0,1,3.6,0.1,34,1,0,0,1,50,1,0,FALSE,3,NA,NA,1025,NA,NA,NA,2,2,0,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2500
2500,2000,0,0,NA,0,0,0,0,1,0,0,1,1,2.16666666666667,0,5,5,5,5,4.4,5,30,NA,0,0,3.4,0,55,0,0,1,0,19,1,0,FALSE,3,NA,NA,1024,NA,NA,NA,1,2,0,1,1,8,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2500
4000,2000,50,56,0,1,2,3,0,0,0,0,3,14.3,2.5,1.57142857142857,4,5,4,5,3.8,5,0,NA,0,1,3.6,0.1,45,0,0,0,1,45,1,0,FALSE,2,2,11,1024,11,0,0.666666666666667,3,2,0,1,0,9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
7000,4000,1000,81,0,1,3,4,0,0.166666666666667,0.5,0,4,1,3.16666666666667,1.85714285714286,4,4,4,4,3.8,4,0,NA,0,0,3.2,0.1,22,1,1,0,1,35,1,1,FALSE,10,1,9,1025,9,5.33333333333333,4.66666666666667,4,3,0,2,1,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,3000,0,0,0,0,0,0,0,0.333333333333333,0,0,2,0,3.16666666666667,1.57142857142857,4,4,4,3,3.6,4,0,NA,0,0,3.2,0,26,1,1,0,1,30,1,1,FALSE,30,1,9,1024,9,5.66666666666667,4.33333333333333,3,4,0,2,1,9,0,2,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
8000,6000,0,0,0,0,0,0,0,0.333333333333333,0,0,3,0,3,1.57142857142857,4,4,4,4,3.8,4,0,NA,0,0,3.2,0.1,24,1,1,1,0,30,1,1,FALSE,25,1,9,1024,9,5,4.66666666666667,4,3,0,1,1,9,0,2,0,0,0,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8000
5000,3000,0,81,0,1,2,3,0,0.166666666666667,0,0,2,0,3.16666666666667,1.42857142857143,4,4,4,4,3.8,4,0,NA,0,0,3.2,0.1,33,1,1,1,0,28,1,1,FALSE,20,1,9,1024,9,5.33333333333333,4.66666666666667,3,4,0,2,1,9,0,1,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
4000,2500,500,56,NA,1,3,7,0,0.333333333333333,0.5,0,2,2,2.5,1.57142857142857,3,2,3,3,2.6,4,80,NA,1,1,3.8,0,57,0,0,1,0,31,1,0,FALSE,3,NA,NA,1025,NA,NA,NA,3,2,0,1,1,8,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
6000,4000,0,150,360,1,2,5,0,0,0,0,10,32,3.83333333333333,2.85714285714286,4,4,4,4,3.6,4,300,NA,0,1,3.8,1,21,1,1,0,1,25,1,0,TRUE,NA,32,16,1026,16,5.66666666666667,7.66666666666667,5,2,0,2,4,10,0,0,0,0,0,0,3,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,6000
8000,5000,0,50,NA,1,2,4,0,0.333333333333333,0,0,1,6,4.16666666666667,0,4,2,4,4,3,4,100,NA,0,0,3.2,0,52,0,0,1,0,55,1,0,FALSE,20,NA,NA,1026,NA,NA,NA,6,2,0,2,5,10,0,2,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8000
5000,3000,500,50,NA,1,2,5,0,0.5,1,0,3,12,4,2.57142857142857,2,2,2,2,2,3,100,NA,0,0,3.4,0.2,48,0,0,0,1,24,1,0,TRUE,NA,NA,NA,1026,NA,NA,NA,6,2,0,2,4,10,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
5000,4000,100,50,NA,1,1,5,0,0.5,1,0,1,0,3.66666666666667,2.42857142857143,4,2,4,4,3.2,4,100,NA,0,1,3.6,0.1,52,0,0,0,1,35,1,0,FALSE,19,NA,NA,1026,NA,NA,NA,4,2,0,2,4,10,0,2,0,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
3500,3000,200,24,250,1,2,4,0,NA,0,0,3,11,3,2.85714285714286,2,2,2,4,2.2,5,200,NA,1,0,3,0.1,60,0,1,0,1,55,1,1,FALSE,NA,20,10.6666666666667,1028,10.6666666666667,4.66666666666667,3.66666666666667,2,2,0,1,3,10,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500
6000,4000,0,56,0,1,1,2,0,0,0,0,3,12.1,3.5,2,2,2,4,5,3.4,4,150,NA,0,1,3.2,0.1,34,1,1,0,1,70,0,1,TRUE,NA,4,8,1028,8,7,7.33333333333333,2,2,1,1,2,13,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
3000,2500,200,0,NA,0,0,0,0,1.33333333333333,0,0,1,2,3,2,4,4,4,4,3.4,5,80,NA,0,0,3.4,0,47,0,0,0,1,50,0,0,TRUE,20,NA,NA,1027,NA,NA,NA,2,2,0,1,3,10,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3000
5000,3500,0,56,0,1,2,2,0,0,0,0,0,0,3.16666666666667,2,2,4,4,5,3.8,4,150,NA,0,0,3.4,0,31,1,1,1,0,35,1,0,FALSE,15,4,7.33333333333333,1028,7.33333333333333,7.66666666666667,7.66666666666667,3,2,0,1,1,12,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2500,2500,0,0,NA,0,0,0,0,1.5,0,0,0,0,3.16666666666667,0,4,4,4,4,3.4,5,100,NA,0,1,3.4,0,49,0,0,0,1,28,0,0,TRUE,25,NA,NA,1027,NA,NA,NA,2,2,0,1,4,10,0,0,0,0,0,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4000,2500,0,0,NA,0,0,0,0,0.5,0,0,0,0,3,3.42857142857143,4,4,4,4,3.6,4,150,NA,0,0,3.2,0,47,0,0,0,1,70,0,0,TRUE,NA,NA,NA,1027,NA,NA,NA,2,1,0,2,3,10,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
6000,5000,500,54,NA,1,2,3,0,0.833333333333333,1,0,1,0.5,2.83333333333333,2.14285714285714,5,4,5,4,4.4,4,50,NA,0,1,3.4,0.3,25,1,0,0,1,40,0,1,FALSE,NA,NA,NA,1027,NA,NA,NA,1,2,1,2,1,10,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
