"total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","distance","instrument","treat","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other","respond","total_expenditure_obs"
4500,4000,200,0,200,0,0,0,0,0.666666666666667,1.5,0,4,6,2.5,2,4,2,4,4,3.2,4,200,NA,1,0,3.2,0,26,1,1,0,1,55,1,1,TRUE,10,1,11.3333333333333,1124,11.3333333333333,2,1.33333333333333,2,1,0,2,0,10,0,2,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4500
3000,2500,0,54,200,1,2,4,0,0.166666666666667,0,0,5,16,2.16666666666667,0,4,3,3,3,2.8,4,200,NA,1,0,3.4,0,24,1,1,0,1,55,1,1,FALSE,7,1,11.6666666666667,1123,11.6666666666667,3.33333333333333,3,2,0,0,1,0,10,0,0,0,0,0,1,NA,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3000
4000,3200,200,0,NA,0,0,0,0,0.666666666666667,1,0,0,0,2,2.28571428571429,4,4,4,4,3.6,4,100,NA,1,0,3.2,0,30,1,0,0,1,60,1,1,TRUE,9,NA,NA,1124,NA,NA,NA,2,0,0,1,0,9,0,2,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4000,3000,0,80,NA,1,2,6,0,0,0,0,1,1,3,1.57142857142857,2,2,2,1,1.6,3,50,NA,0,0,3,0.2,59,0,0,0,1,35,1,1,FALSE,25,NA,NA,1124,NA,NA,NA,4,2,0,1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3000,2500,100,0,NA,0,0,0,0,1,1,0,0,0,2.33333333333333,1.85714285714286,4,4,4,4,3.4,4,50,NA,0,1,3,0,23,1,0,0,1,45,1,1,FALSE,5,NA,NA,1125,NA,NA,NA,2,1,0,1,0,10,0,0,0,0,0,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
3000,2000,0,0,NA,0,0,0,0,0.833333333333333,0,0,1,0.3,3.5,1.71428571428571,4,3,4,4,3.2,4,0,NA,0,0,3,0,55,0,0,1,1,18,1,0,TRUE,15,NA,NA,1123,NA,NA,NA,4,2,0,2,1,12,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,4000,50,0,NA,0,0,0,0,0.833333333333333,0.5,0,1,1,2.66666666666667,1.85714285714286,5,4,4,4,3.6,4,0,NA,0,0,4.2,0.2,48,0,0,0,1,40,0,0,TRUE,9,NA,NA,1125,NA,NA,NA,3,2,0,1,1,9,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3000,2500,0,56,NA,1,2,6,0,0,0,0,0,0,3.33333333333333,1.71428571428571,3,2,3,2,2.2,3,0,NA,0,0,2.6,0,58,0,0,1,0,65,0,0,FALSE,5,NA,NA,1125,NA,NA,NA,5,2,0,1,2,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3000,2500,100,0,NA,0,0,0,0,0.5,1,0,0,0,2.5,1.85714285714286,4,4,4,4,3.4,4,50,NA,0,1,3.2,0,25,1,0,0,1,40,1,1,FALSE,4,NA,NA,1125,NA,NA,NA,2,1,0,2,0,10,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,3000,0,0,NA,0,0,0,0,1.66666666666667,0,0,1,1,3.16666666666667,2,5,4,5,5,4,5,0,NA,0,1,3.8,0.2,55,0,0,0,1,42,1,0,FALSE,25,NA,NA,1124,NA,NA,NA,5,2,0,1,2,9,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
3000,2500,0,0,NA,0,0,0,0,0.5,0,0,0,0,2.5,0,5,4,4,5,4,4,50,NA,1,0,3.2,0,24,1,0,0,1,70,1,1,FALSE,4,NA,NA,1124,NA,NA,NA,2,1,0,2,0,10,0,2,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
4000,3500,0,0,200,0,0,0,0,0,0,0,4,14,2.33333333333333,1.42857142857143,4,4,4,4,3.4,4,200,NA,1,0,3.2,0,28,1,1,0,1,50,1,1,FALSE,7,1,11.6666666666667,1125,11.6666666666667,2,2,2,1,0,1,0,10,0,0,0,0,0,0,NA,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
3000,2500,100,54,NA,1,1,4,0,0.833333333333333,1,0,0,0,2.33333333333333,1.85714285714286,4,4,4,4,3.4,4,100,NA,1,0,3.2,0,30,1,0,0,1,40,1,1,FALSE,5,NA,NA,1123,NA,NA,NA,2,1,0,2,0,9,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,2500,300,0,NA,0,0,0,0,1,1,0,3,3,3.5,1.71428571428571,5,4,5,4,4,5,0,NA,1,1,3.8,0.2,58,0,0,0,1,66,1,0,TRUE,29,NA,NA,1123,NA,NA,NA,6,2,0,1,2,10,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
2000,1800,0,0,200,0,0,0,0,0,0,0,7,20,2.83333333333333,0,4,4,3,4,3.2,4,200,NA,1,0,3.2,0,26,1,1,1,1,40,1,1,TRUE,7,1,11.6666666666667,1123,11.6666666666667,2.66666666666667,2,2,1,0,1,4,9,0,0,0,0,0,0,NA,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,2000
8000,7000,0,54,NA,1,2,2,0,0.166666666666667,1,0,2,0,4.38333333333333,2,4,4,4,5,4.2,4,100,NA,1,1,3.2,0.1,29,1,0,0,1,40,1,0,FALSE,8,NA,NA,1005,NA,NA,NA,10,1.3,0,1,4,10,0,0,0,0,0,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8000
6000,5500,0,56,0,1,2,3,0,0,0,0,10,27,4,0,4,4,4,4,3.6,4,100,NA,0,1,3.4,0,28,1,1,1,0,46,1,0,FALSE,35,1,8,1006,8,10.3333333333333,6,3,3,0,2,3,13,0,0,0,0,0,0,NA,3,0,2,0,2,0,0,1,1,0,0,0,0,0,0,1,6000
2800,2500,0,26,NA,1,1,3,0,0,0,0,0,0,2.33333333333333,0,4,2,4,4,3,5,50,NA,0,0,3.4,0,57,0,0,0,1,55,1,1,FALSE,8,NA,NA,1005,NA,NA,NA,2,1,0,1,0,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2800
7000,6500,500,176,NA,1,1,4,0,0,1,0,0,0,4.33333333333333,2.14285714285714,4,4,4,4,4,4,150,NA,1,1,3.2,0.2,27,1,0,0,1,35,1,0,TRUE,6,NA,NA,1005,NA,NA,NA,10,1,0,1,2,12,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000
4000,0,0,52,NA,1,2,4,0,0.166666666666667,0,0,0,0,2.33333333333333,2,4,4,4,4,3.4,4,0,NA,0,0,3,0.1,57,0,0,0,1,50,1,1,FALSE,4,NA,NA,1006,NA,NA,NA,2,1,0,1,0,10,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3000,2500,100,52,NA,1,2,5,0,0.5,0,0,0,0,2.33333333333333,1.85714285714286,4,2,4,4,3,4,100,NA,1,0,3,0,55,0,0,0,1,27,1,1,FALSE,6,NA,NA,1005,NA,NA,NA,2,1,0,1,0,10,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
5000,4000,500,56,NA,1,2,4,0,0,0,0,0,0,2.83333333333333,2.42857142857143,4,2,4,2,2.8,3,50,NA,0,1,3.6,0.1,29,1,0,1,0,28,1,0,TRUE,7,NA,NA,1006,NA,NA,NA,2,2,0,2,1,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
4000,3200,100,52,NA,1,2,4,0,0.5,0,0,0,0,2.5,1.85714285714286,4,1,2,4,2.4,4,100,NA,0,0,3.2,0.1,60,0,0,0,1,35,1,1,FALSE,8,NA,NA,1005,NA,NA,NA,2,2,0,1,0,10,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3800,2600,100,52,NA,1,2,4,0,0.333333333333333,1,0,0,0,2.33333333333333,2,4,2,4,4,3,4,100,NA,0,0,3,0,59,0,0,0,1,45,1,1,FALSE,3,NA,NA,1006,NA,NA,NA,2,1,0,1,0,10,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3800
5000,4000,500,56,NA,1,2,4,0,0,1,0,1,0,4,2.14285714285714,4,4,4,4,4,4,100,NA,0,1,3.2,0.2,32,1,0,1,0,35,1,0,FALSE,8,NA,NA,1006,NA,NA,NA,6,2,0,2,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
8000,7000,500,54,0,1,2,3,0,0.166666666666667,1,0,8,27.1,4.33333333333333,2.28571428571429,2,2,4,5,3.6,5,150,NA,1,1,3.2,0.2,31,1,1,0,1,35,1,0,FALSE,12,1,7,1005,7,6,6,6,2,1,1,2,14,0,0,0,0,0,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,8000
